country_code,country_name,year,poverty_headcount,gini
ARG,Argentina,2024,0.009636804608,0.423533182338
CRI,Costa Rica,2024,0.012837076978,0.45829142291
DOM,Dominican Republic,2024,0.007753300784,0.389712571405
ECU,Ecuador,2024,0.073132636601,0.451954747261
GEO,Georgia,2024,0.042292609845,0.338538035948
HND,Honduras,2024,0.157173706393,0.45676117381
IDN,Indonesia,2024,0.054381132299,0.348943937896
PAN,Panama,2024,0.031258316921,0.497335432231
PER,Peru,2024,0.051405638887,0.401258629673
PRY,Paraguay,2024,0.021053328962,0.442453362094
TJK,Tajikistan,2024,0.0613354089,0.361080032292
URY,Uruguay,2024,0.001671597745,0.399841460249
UZB,Uzbekistan,2024,0.027182952242,0.345633643618
