country,country_code,year,account_pct,bank_account_pct,mobile_account_pct
Afghanistan,AFG,2014,0.099610012,0.099610012,0.003044038
Argentina,ARG,2014,0.501972945,0.501972945,0.004323196
Armenia,ARM,2014,0.176690647,0.172399639,0.006578374
Bangladesh,BGD,2014,0.309908189,0.291421029,0.026917143
Benin,BEN,2014,0.166208335,0.159799342,0.020227271
Bolivia,BOL,2014,0.417967196,0.407108203,0.027771435
Botswana,BWA,2014,0.519645703,0.492435843,0.207515244
Brazil,BRA,2014,0.681231585,0.681231585,0.008577455
Burkina Faso,BFA,2014,0.143575961,0.134244859,0.030809696
Burundi,BDI,2014,0.071057586,0.069434607,0.007463846
Cambodia,KHM,2014,0.221652658,0.125564942,0.132945547
Cameroon,CMR,2014,0.121777347,0.113510369,0.017966049
Chad,TCD,2014,0.124333451,0.076994981,0.057501066
Chile,CHL,2014,0.632588778,0.632107562,0.037898508
Colombia,COL,2014,0.389990168,0.383533374,0.02212442
"Congo, Dem. Rep.",COD,2014,0.174769844,0.10907591,0.092086641
"Congo, Rep.",COG,2014,0.170695977,0.166836554,0.01985446
Cote d'Ivoire,CIV,2014,0.343220227,0.151362557,0.242613766
Dominican Republic,DOM,2014,0.540909896,0.53986396,0.023180556
"Egypt, Arab Rep.",EGY,2014,0.14126797,0.13651753,0.011449442
El Salvador,SLV,2014,0.367197118,0.346347202,0.045567878
Ethiopia,ETH,2014,0.217915817,0.217915817,0.000278949
Gabon,GAB,2014,0.330141832,0.301545536,0.066484249
Ghana,GHA,2014,0.405057942,0.346183758,0.130065504
Guatemala,GTM,2014,0.413492185,0.407867284,0.017702767
Guinea,GIN,2014,0.069600173,0.061701273,0.014732857
Haiti,HTI,2014,0.188586778,0.174960995,0.037826898
Honduras,HND,2014,0.314863604,0.300436578,0.034087009
India,IND,2014,0.5314155,0.527538087,0.023522101
Indonesia,IDN,2014,0.360589893,0.359473605,0.004496315
"Iran, Islamic Rep.",IRN,2014,0.922802533,0.921752207,0.044956916
Jamaica,JAM,2014,0.78458207,0.783459619,0.009165031
Jordan,JOR,2014,0.246159099,0.246159099,0.004686658
Kenya,KEN,2014,0.746578329,0.552055402,0.583926337
Lebanon,LBN,2014,0.469271357,0.469271357,0.006707376
Madagascar,MDG,2014,0.085513387,0.057274886,0.043560187
Malawi,MWI,2014,0.180924196,0.161356668,0.038441009
Malaysia,MYS,2014,0.806746218,0.806746218,0.028302111
Mali,MLI,2014,0.200760415,0.132534052,0.116424546
Mauritania,MRT,2014,0.228658822,0.204453831,0.06480396
Mauritius,MUS,2014,0.822082722,0.822082722,0.008643314
Mexico,MEX,2014,0.391408432,0.386953463,0.034240299
