country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct,country_name,poverty_headcount,gini
Argentina,ARG,2024,0.817442447,0.728989947,0.567395437,0.713077048,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.647779639,0.632920319,0.180158284,0.417732053,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.645052104,0.639477053,0.100848646,0.383949186,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.424429707,0.39273054,0.108892565,0.228849199,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.563278494,0.523919069,0.220129024,0.373694773,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.640952131,0.608679812,0.380533533,0.490105705,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.60916761,0.455472583,0.359483793,0.472629972,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.593098978,0.498244622,0.42497337,0.479470402,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.545193771,0.524742715,0.144302101,0.27896827,Tajikistan,0.0613354089,0.361080032292
Argentina,ARG,2024,0.789395531,0.68401531,0.583533395,0.69191236,Argentina,0.009636804608,0.423533182338
Argentina,ARG,2024,0.842497433,0.769166873,0.55297901,0.731983974,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.682420116,0.663226207,0.21327548,0.472928989,Dominican Republic,0.007753300784,0.389712571405
Dominican Republic,DOM,2024,0.614376464,0.603696909,0.148223982,0.364506662,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.655985687,0.647399653,0.122459785,0.448130576,Ecuador,0.073132636601,0.451954747261
Ecuador,ECU,2024,0.635126837,0.63228509,0.081230529,0.325686733,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.527899759,0.481952283,0.157323056,0.30545409,Honduras,0.157173706393,0.45676117381
Honduras,HND,2024,0.340839092,0.320650744,0.0697669,0.16696221,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.546388119,0.509147458,0.241305391,0.380771688,Indonesia,0.054381132299,0.348943937896
Indonesia,IDN,2024,0.580308452,0.538812753,0.198777655,0.366559374,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.70391512,0.671001389,0.392413931,0.506874635,Panama,0.031258316921,0.497335432231
Panama,PAN,2024,0.581187551,0.549524061,0.369256639,0.474188608,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.617674731,0.487531151,0.36581947,0.481688049,Paraguay,0.021053328962,0.442453362094
Paraguay,PRY,2024,0.601097093,0.425059329,0.353473275,0.464036775,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.624782759,0.535640585,0.476929215,0.53699655,Peru,0.051405638887,0.401258629673
